Cold-brew Coffee	Heart Beats	Food	['Monday, August 26th, 2019, 9 AM – 10:30 AM <--> Tuesday, August 27th, 2019, 9 AM – 10:30 AM <--> Wednesday, August 28th, 2019, 9 AM – 10:30 AM <--> Thursday, August 29th, 2019, 9 AM – 10:30 AM <--> Friday, August 30th, 2019, 9 AM – 10:30 AM ']	Cold brew coffee with all the fixins! Get your day started with a nice cool cup of liquid motivation.
Recycle Your Aluminum Cans!	Recycle Camp	Kid-friendly	['Monday, August 26th, 2019, 9 AM – 5 PM <--> Tuesday, August 27th, 2019, 9 AM – 5 PM <--> Wednesday, August 28th, 2019, 9 AM – 5 PM <--> Thursday, August 29th, 2019, 9 AM – 5 PM <--> Friday, August 30th, 2019, 9 AM – 5 PM <--> Saturday, August 31st, 2019, 9 AM – 5 PM <--> Sunday, September 1st, 2019, 9 AM – 5 PM ']	https://burningman.org/event/black-rock-city-guide/infrastructure/recycle-camp/
Check Your Emotional Baggage/Set A New Intention	Baggage Check'd	Care/Support	['Monday, August 26th, 2019, 9 AM – 9 PM <--> Tuesday, August 27th, 2019, 9 AM – 9 PM <--> Wednesday, August 28th, 2019, 9 AM – 9 PM <--> Thursday, August 29th, 2019, 9 AM – 9 PM <--> Friday, August 30th, 2019, 9 AM – 9 PM <--> Saturday, August 31st, 2019, 9 AM – 9 PM ']	Get pampered in our dome & write your emotional baggage & new positive intentions in The Book or add to the public Wall of Profession for all to see!
Antarctic Ice Coffee	Penguin Place	Food	['Monday, August 26th, 2019, 9 AM – 10 AM <--> Tuesday, August 27th, 2019, 9 AM – 10 AM <--> Wednesday, August 28th, 2019, 9 AM – 10 AM <--> Thursday, August 29th, 2019, 9 AM – 10 AM <--> Friday, August 30th, 2019, 9 AM – 10 AM ']	fahdsaeed@gmail.com
Awful Waffles @ the Awful House	Camp EAT Me	Food	['Tuesday, August 27th, 2019, 9 AM – 11 AM <--> Wednesday, August 28th, 2019, 9 AM – 11 AM ']	https://www.facebook.com/campeatme
Your daily In-tea-gration	Radiant Heart Tea Temple	Care/Support	['Monday, August 26th, 2019, 9 AM – 3 PM <--> Tuesday, August 27th, 2019, 9 AM – 3 PM <--> Wednesday, August 28th, 2019, 9 AM – 3 PM <--> Thursday, August 29th, 2019, 9 AM – 3 PM <--> Friday, August 30th, 2019, 9 AM – 3 PM ']	Radiant Heart Tea Temple offers daily pouring of tea with intuitive energy work to help you integrate your burning man experience.
Sk8 Lessons - Morning	Sk8 Kamp	Class/Workshop	['Monday, August 26th, 2019, 9 AM – 10:30 AM <--> Wednesday, August 28th, 2019, 9 AM – 10:30 AM <--> Friday, August 30th, 2019, 9 AM – 10:30 AM ']	Our Sk8 lessons will shred-ucate you. All skill levels welcome. Sk8 gear provided: Sk8boards, helmets, pads and shoes. Come learn to Sk8 on the Playa! For first time skaters instructors will teach proper standing, pushing, stopping, turning, and in some cases going down small ramps. We will have a blue wave runner sk8 tunnel for practicing your skating and surfing. Sk8 Director James Pike has been teaching surfing and skating for 20 years in California, Oregon, Hawaii and Mexico. He’s has run and created programs for skate camps in Santa Barbara, California with parks and recreation and Scotts Valley, California with parks and recreation. Pike’s attention to detail combined with his love for sharing knowledge about skating making this the very best place to learn how to skate on the Playa. All instructors are trained and certified by Pike to teach up to his standards and most importantly safety, saftey, safety. Skateboarding is also very emotionally therapeutic and a great way to work out things with yourself. Pike’s sk8 philosophy plays a huge role in learning to trust yourself and looking at the bigger picture. Sk8 yoga is also a huge part of lessons and we will do some stretching in the beginning and afterwords to keep ourselves properly skateboarding to the best of our abilities. When showing up to skate camp please sign in at the Sk8 kiosk with the surfboard that says “Sk8Watch” to check in. Look for skaters with t-shirts that say “Sk8Watch”.
CAMP JUICY Morning Yoga and Smoothies with BEATS	CAMP JUICY	Food	['Monday, August 26th, 2019, 9 AM – 5 PM <--> Tuesday, August 27th, 2019, 9 AM – 5 PM <--> Wednesday, August 28th, 2019, 9 AM – 5 PM <--> Thursday, August 29th, 2019, 9 AM – 5 PM <--> Friday, August 30th, 2019, 9 AM – 5 PM ']	https://www.facebook.com/groups/988468674542751/?ref=bookmarks
Pops’ Self-Service Station	Camp You Are Here	Care/Support	['Monday, August 26th, 2019, 9 AM – 9 PM <--> Tuesday, August 27th, 2019, 9 AM – 9 PM <--> Wednesday, August 28th, 2019, 9 AM – 9 PM <--> Thursday, August 29th, 2019, 9 AM – 9 PM <--> Friday, August 30th, 2019, 9 AM – 9 PM <--> Saturday, August 31st, 2019, 9 AM – 9 PM ']	alexatealgreen@gmail.com
Henna tattoo	EBB & Glow Village	Class/Workshop	['Monday, August 26th, 2019, 9 AM – 10 AM <--> Wednesday, August 28th, 2019, 9 AM – 10 AM <--> Friday, August 30th, 2019, 9 AM – 10 AM ']	Description:Happy Natural temporary tattoo! By Belle
Morning Sesh coffee and tea	couch burners camp	Food	['Monday, August 26th, 2019, 9 AM – 11:30 AM <--> Tuesday, August 27th, 2019, 9 AM – 11:30 AM <--> Wednesday, August 28th, 2019, 9 AM – 11:30 AM <--> Thursday, August 29th, 2019, 9 AM – 11:30 AM <--> Friday, August 30th, 2019, 9 AM – 11:30 AM <--> Saturday, August 31st, 2019, 9 AM – 11:30 AM <--> Sunday, September 1st, 2019, 9 AM – 11:30 AM <--> Monday, September 2nd, 2019, 9 AM – 11:30 AM ']	Start the morning right like a true couch surfer. Come for the coffee, stay for the couches. 9-11 monday- Friday
Mate Ceremony, the Gauchos way	Gauchos del Fuego	Food	['Monday, August 26th, 2019, 9 AM – 12 PM <--> Tuesday, August 27th, 2019, 9 AM – 12 PM <--> Wednesday, August 28th, 2019, 9 AM – 12 PM <--> Thursday, August 29th, 2019, 9 AM – 12 PM <--> Friday, August 30th, 2019, 9 AM – 12 PM <--> Saturday, August 31st, 2019, 9 AM – 12 PM <--> Sunday, September 1st, 2019, 9 AM – 12 PM ']	Join us every morning to enjoy a energizing mate, made from Argentinean yerba mate, served in the traditional way. You might even take a mate home!
Turkish Espresso	Hookers & Makers	Food	['Wednesday, August 28th, 2019, 9 AM – 10 AM <--> Thursday, August 29th, 2019, 9 AM – 10 AM <--> Friday, August 30th, 2019, 9 AM – 10 AM ']	Quirky camp of eager Burgins serving Turkish coffee – pulled to order! Faithful will be indulged w/ caffeine & a reading. What will your fortune hold?
South of the Blintzder - Blintz Breakfast	Camp Blintzkrieg	Food	['Wednesday, August 28th, 2019, 9 AM – 12 PM ']	Salsa: a dance or a dip? Do you dip while you dance? Can we mash Latinx and Polish themes into a breakfast good enough to make your hips shake?!
YUMMY Daily Workshops, Events, and Happenings	Yummy RUMInations	Class/Workshop	['Monday, August 26th, 2019, 9 AM – 5 PM <--> Tuesday, August 27th, 2019, 9 AM – 5 PM <--> Wednesday, August 28th, 2019, 9 AM – 5 PM <--> Thursday, August 29th, 2019, 9 AM – 5 PM <--> Friday, August 30th, 2019, 9 AM – 5 PM <--> Saturday, August 31st, 2019, 9 AM – 5 PM ']	Saunter over and check out our YumLife info-board. See the fresh posted workshops, events, and happenings of the week. Taste, Sip, Play - Enjoy!
Tarot 101	couch burners camp	Class/Workshop	['Wednesday, August 28th, 2019, 9 AM – 11:30 AM <--> Thursday, August 29th, 2019, 9 AM – 11:30 AM ']	Come play with my deck. Sacrilegiously curious about the Tarot, have no one to ask, come find out how it works and what it all means at Couch Burners Camp. 9:30-11 Tuesday, Thursday
All the news that's fit to burn	Black Rock Beacon	Other	['Monday, August 26th, 2019, 9 AM – 9 PM <--> Tuesday, August 27th, 2019, 9 AM – 9 PM <--> Wednesday, August 28th, 2019, 9 AM – 9 PM <--> Thursday, August 29th, 2019, 9 AM – 9 PM <--> Friday, August 30th, 2019, 9 AM – 9 PM <--> Saturday, August 31st, 2019, 9 AM – 9 PM <--> Sunday, September 1st, 2019, 9 AM – 9 PM ']	Read all about it! Stay up-to-date on the latest playa happenings by picking up today's Black Rock Beacon. Lux. Veritas. Lardum. Crustum.
Yoga Brunch	DusTea	Class/Workshop	['Tuesday, August 27th, 2019, 9 AM – 11 AM <--> Wednesday, August 28th, 2019, 9 AM – 11 AM <--> Thursday, August 29th, 2019, 9 AM – 11 AM <--> Friday, August 30th, 2019, 9 AM – 11 AM <--> Saturday, August 31st, 2019, 9 AM – 11 AM ']	Come detox body and mind with an energizing or restorative morning yoga class, followed by a delicious brunch to nourish and recharge. Menu varies each morning. Bring a mat & plate/utensils.
Yoga/Meditation	Salon Soleil	Class/Workshop	['Monday, August 26th, 2019, 9 AM – 10:30 AM <--> Tuesday, August 27th, 2019, 9 AM – 10:30 AM <--> Wednesday, August 28th, 2019, 9 AM – 10:30 AM <--> Thursday, August 29th, 2019, 9 AM – 10:30 AM <--> Friday, August 30th, 2019, 9 AM – 10:30 AM <--> Saturday, August 31st, 2019, 9 AM – 10:30 AM ']	Start your day with a dose of yoga, meditation and healing. Our amazing teachers will help you open the hips, breathe deep, and connect with yourself.
Radical self acceptance	The Man	Ritual/Ceremony	['Wednesday, August 28th, 2019, 9 AM – 10 AM ']	Everyone gathers to write their personal self doubts, fears, and labels on a plane white cotton t-shirt. We will wear the shirt for all to see as we pilgrimage from the Man base to the Temple to release ourselves of the negative energy. As we pilgrimage we will give positive affirmations to each other to overbalance the negative with the positive. At the Temple prior to removing our fears we will decomodify ourselves of our costumes prior to removing our doubts, fears, and labels. You will be guided on a journey back to before you had acquired all of the negativity to a time of joy and wonder with the world around you. Once inside the temple we will emerge from our shirts revitalized and filled with love to spend the rest our our days frolicking and filled with laughter and love.
Breakfast sandwiches & coffee	Sunrise Diner	Food	['Monday, August 26th, 2019, 9 AM – 12 PM <--> Tuesday, August 27th, 2019, 9 AM – 12 PM <--> Wednesday, August 28th, 2019, 9 AM – 12 PM <--> Thursday, August 29th, 2019, 9 AM – 12 PM <--> Friday, August 30th, 2019, 9 AM – 12 PM ']	https://www.facebook.com/SunriseDinerBRC/
Contact Improv Dance Jam at Center Camp	Camp Contact	Gathering/Party	['Monday, August 26th, 2019, 9 AM – 12 PM <--> Tuesday, August 27th, 2019, 9 AM – 12 PM <--> Wednesday, August 28th, 2019, 9 AM – 12 PM <--> Thursday, August 29th, 2019, 9 AM – 12 PM <--> Friday, August 30th, 2019, 9 AM – 12 PM <--> Saturday, August 31st, 2019, 9 AM – 12 PM ']	Come explore and play with other movers, following our own dance as it flows through the movement constellations we find ourselves in.
RADIANT YOGA	STAR STAR ROADHOUSE	Class/Workshop	['Tuesday, August 27th, 2019, 9 AM – 10 AM <--> Wednesday, August 28th, 2019, 9 AM – 10 AM <--> Thursday, August 29th, 2019, 9 AM – 10 AM <--> Friday, August 30th, 2019, 9 AM – 10 AM <--> Saturday, August 31st, 2019, 9 AM – 10 AM ']	http://starstarroadhouse.com
Lighthouse	IDEATE	Other	['Monday, August 26th, 2019, 9 AM – 9 PM <--> Tuesday, August 27th, 2019, 9 AM – 9 PM <--> Wednesday, August 28th, 2019, 9 AM – 9 PM <--> Thursday, August 29th, 2019, 9 AM – 9 PM <--> Friday, August 30th, 2019, 9 AM – 9 PM <--> Saturday, August 31st, 2019, 9 AM – 9 PM ']	This interactive art display imbedded in our frontage will digitally display unique artistic content while also highlighting physical art within its orbit. It will portray the mix of Ancient Future that our village will encompass while attracting and welcoming the playa to our village experience.
De-Coding Women	Genital Portrait Studio	Class/Workshop	['Wednesday, August 28th, 2019, 9 AM – 10 AM ']	Confused by women in your life? Frustrated that she makes no sense? Come learn to “speak feminine” and understand the subtle messages she's sending.
EcoSexuality: Seducing Pachamama	Naked Heart	Class/Workshop	['Wednesday, August 28th, 2019, 9 AM – 10:30 AM ']	Lover Earth is a sensual and wild goddess whose beauty awakens us. Explore new ways to express your love for her and experience her passion. We’ll offer meditation, breath + energy work, and interactive play to inspire seducing and submitting to the ecological splendor of Pachamama.
Breathing, Cold Exposure & Mindset	Cold Yogis	Class/Workshop	['Monday, August 26th, 2019, 9 AM – 11 AM <--> Tuesday, August 27th, 2019, 9 AM – 11 AM <--> Wednesday, August 28th, 2019, 9 AM – 11 AM <--> Thursday, August 29th, 2019, 9 AM – 11 AM <--> Friday, August 30th, 2019, 9 AM – 11 AM <--> Saturday, August 31st, 2019, 9 AM – 11 AM ']	Get to know Wim Hof's (the Iceman) inspired method to activate self-healing and boost consciousness throughout commitment, breathing and cold therapy. We will lead you through a guided breathing session, give you lots of background information and finish with an ice cold shower. Start your day fresh and with a new perspective.
Oooh Shiney Tour	Mobility Camp	Other	['Monday, August 26th, 2019, 9 AM – 11 AM <--> Tuesday, August 27th, 2019, 9 AM – 11 AM <--> Wednesday, August 28th, 2019, 9 AM – 11 AM <--> Thursday, August 29th, 2019, 9 AM – 11 AM <--> Friday, August 30th, 2019, 9 AM – 11 AM <--> Saturday, August 31st, 2019, 9 AM – 11 AM <--> Sunday, September 1st, 2019, 9 AM – 11 AM ']	https://mobilitycamp.org
Daily Sykotic Advice	9:00 and Diana	Other	['Monday, August 26th, 2019, 9 AM – 12 PM <--> Tuesday, August 27th, 2019, 9 AM – 12 PM <--> Wednesday, August 28th, 2019, 9 AM – 12 PM <--> Thursday, August 29th, 2019, 9 AM – 12 PM <--> Friday, August 30th, 2019, 9 AM – 12 PM <--> Saturday, August 31st, 2019, 9 AM – 12 PM ']	Stop by our ever-changing advice booth and ask, listen, and then continue the path of personal metamorphosis. Get some motherly advice, bad advice, or even some professional advice from the real deal Dr. The Doctor is in.
Tai Chi & Qigong with Steve	Academy of Arts and Sciences	Class/Workshop	['Monday, August 26th, 2019, 9 AM – 10 AM <--> Tuesday, August 27th, 2019, 9 AM – 10 AM <--> Wednesday, August 28th, 2019, 9 AM – 10 AM <--> Thursday, August 29th, 2019, 9 AM – 10 AM ']	Start your day with a good idea, Thai Chi & Qigong. He has practiced for over five years and is happy to help beginners practice alongside him.
Kid Klarity	BuddhaCamp @ the Lotus Dome	Kid-friendly	['Monday, August 26th, 2019, 9 AM – 11 AM <--> Wednesday, August 28th, 2019, 9 AM – 11 AM <--> Friday, August 30th, 2019, 9 AM – 11 AM ']	http://kidklarity.com
Conscious Polyamory: Alternative Ways of Relating	Camp Mystic	Class/Workshop	['Wednesday, August 28th, 2019, 9 AM – 10 AM ']	The default world is innately monogamous & heteronormative. This talk specifically explores alternative ways of relating through Conscious Polyamory. Facilitated by Ria Bloom.
BRC Tour of Homes Search!	BRC Tour of Homes	Other	['Monday, August 26th, 2019, 9 AM – 10 AM <--> Tuesday, August 27th, 2019, 9 AM – 10 AM <--> Wednesday, August 28th, 2019, 9 AM – 10 AM ']	Bike ride around the 3:00 sector seeking contenders for BRC Tour of Homes. Unique, quirky hand-built homes wanted for our Tour (on Thursday). Casual ride to look for interesting homes to feature on the BRC Tour of Homes. Echo & 3:15. Are you up early? Do you enjoy the quiet city?
Is your on Playa Home Awesome?	BRC Tour of Homes	Other	['Monday, August 26th, 2019, 9 AM – 5 PM <--> Tuesday, August 27th, 2019, 9 AM – 5 PM <--> Wednesday, August 28th, 2019, 9 AM – 5 PM <--> Thursday, August 29th, 2019, 9 AM – 5 PM <--> Friday, August 30th, 2019, 9 AM – 5 PM ']	Did you bring a hand-made, unique home (tiny?) to BRC? Want to be on the Tour of Homes? Submit your home! Echo & 3:15 or email brctourofhomes@gmail.com. We are always looking for something wacky, weird, colorful that comes with an interesting story. If you would like to be on our self-guided tour, get in touch with us!
Brew & Booty	Cabana Club	Gathering/Party	['Wednesday, August 28th, 2019, 9 AM – 11 AM ']	Arg! Shake your booty and have some Coffee!
Solar Battery Charging	Salon Soleil	Other	['Monday, August 26th, 2019, 9 AM – 6 PM <--> Tuesday, August 27th, 2019, 9 AM – 6 PM <--> Wednesday, August 28th, 2019, 9 AM – 6 PM <--> Thursday, August 29th, 2019, 9 AM – 6 PM <--> Friday, August 30th, 2019, 9 AM – 6 PM <--> Saturday, August 31st, 2019, 9 AM – 6 PM ']	Your blinky lights running out of juice? Bring your charger and rejuvenate them at Salon Soleil’s 100% solar-powered battery recharging station.
Retrofrolic 5G WiFi	Retrofrolic 8 and Bacchus	Other	['Monday, August 26th, 2019, 9 AM – 12 PM <--> Tuesday, August 27th, 2019, 9 AM – 12 PM <--> Wednesday, August 28th, 2019, 9 AM – 12 PM <--> Thursday, August 29th, 2019, 9 AM – 12 PM <--> Friday, August 30th, 2019, 9 AM – 12 PM <--> Saturday, August 31st, 2019, 9 AM – 12 PM ']	Guaranteed unreliable and unsecured public access. Additional Hot Spots across the playa! Keep your eyes open.
Blintzkrieg - Every Day Blintzes	Camp Blintzkrieg	Food	['Monday, August 26th, 2019, 9 AM – 12 PM <--> Tuesday, August 27th, 2019, 9 AM – 12 PM <--> Wednesday, August 28th, 2019, 9 AM – 12 PM <--> Thursday, August 29th, 2019, 9 AM – 12 PM <--> Friday, August 30th, 2019, 9 AM – 12 PM <--> Saturday, August 31st, 2019, 9 AM – 12 PM ']	Every day, blintzkrieg will be offering a new set of delicious, sweet and savory blintzes, for delicious eating.
